star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD24062 6107  60  84 4.62 0.06 0.12 1.34 0.08  0.28 0.05 0.07 254 36 3.1015 0.09658 1.229 0.016 18.33 0.41  0.4080 0.0194 no
HD24085 6065  32  68 4.47 0.03 0.10 1.22 0.04  0.17 0.02 0.06 255 35 1.8174 0.05873 1.173 0.023 19.11 0.43  0.3139 0.0195 no
HD24112 6175  19  62 4.35 0.03 0.10 1.26 0.02  0.16 0.01 0.05 254 36 1.8449 0.05796 1.260 0.017 18.44 0.48  0.4717 0.0226 no
HD24558 5274  25  65 4.40 0.04 0.11 0.67 0.05 -0.47 0.02 0.05 260 34 0.5890 0.09069 0.769 0.020 17.60 0.86 -0.3481 0.0424 no
HD24633 5276  43  73 4.36 0.07 0.12 0.59 0.08 -0.04 0.03 0.06 260 34 0.8467 0.14448 0.868 0.027 19.60 1.36 -0.1498 0.0602 no
HD25061 5243  40  72 4.42 0.07 0.12 0.80 0.09  0.07 0.03 0.06 261 35 0.8431 0.11988 0.882 0.027 17.57 0.74 -0.2225 0.0365 no
HD25171 6160  24  64 4.43 0.03 0.10 1.22 0.03 -0.11 0.02 0.05 257 36 1.4149 0.05826 1.094 0.026 18.19 0.45  0.2722 0.0214 yes
HD25357 5117  99 115 4.72 0.15 0.18 1.02 0.25 -0.03 0.05 0.07 256 32 0.8351 0.22535 0.800 0.022 23.28 1.11 -0.5689 0.0414 no
HD25587 6258  66  89 4.61 0.09 0.13 1.78 0.11 -0.12 0.04 0.07 242 34 3.1904 0.14104 1.180 0.032 17.04 0.64  0.4727 0.0326 no
HD25912 5900  25  65 4.52 0.06 0.12 0.99 0.03  0.12 0.02 0.05 254 34 1.1586 0.08924 1.059 0.026 20.26 0.51  0.0205 0.0218 no
HD26430 4948  60  84 4.37 0.11 0.15 0.55 0.21 -0.26 0.03 0.06 259 33 0.5146 0.18331 0.751 0.018 19.33 1.16 -0.4875 0.0521 no
HD26729 5718  35  69 4.17 0.04 0.11 1.13 0.04  0.31 0.03 0.06 259 35 1.5253 0.08427 1.132 0.036 18.09 0.70  0.4355 0.0336 no
HD26887 6016  28  66 4.46 0.02 0.10 1.00 0.05 -0.35 0.02 0.05 255 34 0.9195 0.06918 0.937 0.035 17.97 0.85  0.0139 0.0410 no
HD27471 5871  22  63 4.25 0.05 0.11 1.13 0.02  0.11 0.02 0.05 256 35 1.5458 0.07613 1.137 0.038 17.71 0.40  0.4072 0.0196 no
HD28254 5653  33  68 4.15 0.05 0.11 1.08 0.04  0.36 0.02 0.06 261 34 1.1990 0.08534 1.062 0.018 18.29 0.53  0.3311 0.0251 yes
HD28807 6602  65  88 4.67 0.09 0.13 1.89 0.11  0.06 0.04 0.06 251 35 3.2262 0.13277 1.325 0.024 17.99 0.53  0.5105 0.0255 no
HD28969 6255  52  79 4.68 0.05 0.11 1.47 0.07 -0.01 0.04 0.06 250 35 1.9827 0.10724 1.146 0.028 17.07 0.84  0.1953 0.0427 no
HD29137 5768  23  64 4.28 0.03 0.10 1.10 0.02  0.30 0.02 0.05 257 35 1.3183 0.05444 1.077 0.025 19.35 0.39  0.2773 0.0175 no
HD29263 5780  25  65 4.35 0.03 0.10 0.94 0.03  0.03 0.02 0.05 259 35 1.1103 0.07985 0.995 0.030 18.06 0.88  0.1363 0.0423 no
HD29303 5819  28  66 4.52 0.03 0.10 0.93 0.04 -0.12 0.02 0.05 257 35 1.0379 0.07249 0.967 0.037 18.33 0.72 -0.0512 0.0341 no
HD29428 5743  22  63 4.48 0.05 0.11 0.82 0.03 -0.06 0.02 0.05 257 35 0.7511 0.10059 0.952 0.033 17.60 0.89 -0.1745 0.0439 no
HD29980 6019  52  79 4.71 0.05 0.11 1.57 0.07  0.12 0.04 0.06 253 36 2.3553 0.11176 1.117 0.031 18.23 0.98  0.1733 0.0466 no
HD29985 4678  99 115 4.39 0.24 0.26 0.65 0.38 -0.22 0.04 0.07 257 31 0.2377 0.31161 0.700 0.000 32.77 1.30 -0.9403 0.0344 no
HD30053 6139  41  72 4.51 0.03 0.10 1.20 0.06 -0.22 0.03 0.06 248 34 1.2878 0.06668 1.034 0.035 17.69 0.51  0.1454 0.0250 no
HD30177 5601  42  73 4.34 0.05 0.11 0.89 0.05  0.37 0.03 0.06 258 35 0.9363 0.09198 0.988 0.033 18.93 0.63  0.0177 0.0289 yes
HD30523 4662  96 113 4.57 0.22 0.24 0.79 0.36 -0.16 0.04 0.07 256 32 0.4011 0.28222 0.700 0.001 38.63 1.16 -0.8992 0.0260 no
HD30669 5400  44  74 4.37 0.06 0.12 0.55 0.09  0.13 0.03 0.06 258 36 0.7388 0.13373 0.920 0.030 17.51 1.20 -0.1786 0.0595 no
HD30858 5182  33  68 4.45 0.07 0.12 0.88 0.06 -0.13 0.02 0.05 255 34 0.6478 0.14070 0.815 0.023 19.38 1.33 -0.3873 0.0596 no
HD31103 6078  16  62 4.49 0.02 0.10 1.08 0.02  0.09 0.01 0.05 257 35 1.2313 0.05618 1.117 0.024 18.69 0.68  0.1286 0.0316 no
HD31532 5896  22  63 4.07 0.02 0.10 1.33 0.02 -0.08 0.02 0.05 250 36 1.8693 0.04478 1.224 0.018 18.05 0.38  0.6771 0.0182 no
HD32804 5910  15  61 4.53 0.03 0.10 1.08 0.02  0.06 0.01 0.05 254 33 1.2197 0.05860 1.051 0.029 18.31 0.51  0.0358 0.0241 no
HD33081 6399  89 107 4.56 0.07 0.12 2.47 0.24 -0.16 0.06 0.08 247 36 2.6627 0.12070 1.193 0.029 19.76 0.60  0.4829 0.0263 no
HD33473 5740  13  61 3.97 0.02 0.10 1.20 0.01 -0.13 0.01 0.05 256 35 1.6698 0.04671 1.220 0.023 18.69 0.49  0.6815 0.0227 yes
HD33811 5554  31  67 4.39 0.05 0.11 0.78 0.05  0.30 0.02 0.06 258 36 0.9165 0.09150 0.977 0.034 18.04 0.66 -0.0562 0.0317 no
