star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD223272 5118  73  94 4.41 0.14 0.17 0.58 0.21  0.13 0.06 0.08 257 35 0.6059 0.23065 0.852 0.025 18.51 1.40 -0.3979 0.0656 no
HD223315 5650  24  64 4.44 0.05 0.11 0.89 0.03  0.30 0.02 0.05 255 36 0.6959 0.10868 0.995 0.026 20.32 1.20 -0.1960 0.0512 no
HD224047 5167  37  70 4.43 0.06 0.12 0.62 0.08 -0.23 0.02 0.06 258 34 0.6899 0.14116 0.794 0.022 18.59 1.47 -0.3450 0.0686 no
HD224063 5591  26  65 4.27 0.06 0.12 0.84 0.03  0.14 0.02 0.05 256 35 0.8649 0.11924 0.968 0.028 18.68 1.10  0.0501 0.0511 no
HD224230 4944  93 110 4.47 0.18 0.21 0.56 0.30 -0.10 0.05 0.07 260 33 0.4893 0.26117 0.764 0.020 20.91 1.16 -0.6108 0.0481 no
HD224287 5330  27  65 4.38 0.05 0.11 0.59 0.05 -0.29 0.02 0.05 257 35 0.5580 0.12619 0.808 0.025 19.08 1.48 -0.3332 0.0673 no
HD224432 4828  76  96 4.38 0.17 0.20 0.58 0.27 -0.06 0.04 0.06 259 34 0.4490 0.26807 0.757 0.020 21.31 1.73 -0.5994 0.0705 no
HD224433 5527  31  67 4.42 0.05 0.11 0.72 0.05  0.09 0.02 0.05 261 36 0.7395 0.09700 0.938 0.031 19.83 0.85 -0.1878 0.0372 no
HD224578 6158  25  65 4.67 0.04 0.11 1.13 0.03 -0.01 0.02 0.05 256 35 1.7458 0.09051 1.112 0.027 18.99 0.95  0.1229 0.0434 no
HD224685 5504  30  67 4.47 0.06 0.12 0.76 0.06 -0.40 0.02 0.05 260 33 0.6744 0.11329 0.814 0.025 18.84 0.95 -0.2851 0.0437 no
HD225297 6181  27  65 4.55 0.03 0.10 1.24 0.03 -0.09 0.02 0.05 255 35 1.6559 0.06565 1.106 0.031 19.51 0.63  0.2264 0.0280 no
HD290038 5006  60  84 4.42 0.12 0.16 0.56 0.19  0.01 0.03 0.06 259 35 0.6565 0.21613 0.815 0.022 20.10 1.74 -0.4116 0.0751 no
HD290327 5505  20  63 4.41 0.03 0.10 0.73 0.03 -0.14 0.01 0.05 257 33 0.8113 0.11358 0.884 0.031 17.65 1.57 -0.1445 0.0772 yes
HD291763 4987  41  72 4.50 0.10 0.14 0.12 0.26 -0.61 0.03 0.06 258 30 0.6424 0.19971 0.704 0.008 17.60 1.73 -0.5076 0.0853 no
HD297396 4717 103 119 4.30 0.23 0.25 0.46 0.66  0.06 0.07 0.09 257 33 0.3379 0.31866 0.750 0.019 21.58 1.25 -0.6833 0.0503 no
HD309701 4814   0  60 4.39 0.00 0.10 0.00 0.00 -0.30 0.00 0.05 256 33 0.3982 0.04496 0.710 0.012 23.76 1.23 -0.6666 0.0449 no
HD323631 4984  52  79 4.44 0.10 0.14 0.38 0.21 -0.28 0.03 0.06 257 33 0.5563 0.25836 0.743 0.020 17.85 2.88 -0.5111 0.1401 no
HD324492 4962 164 174 4.15 0.31 0.33 0.52 0.09 -0.27 0.19 0.19 256 33 0.0605 0.62728 0.731 0.030 23.82 7.10 -1.1923 0.2588 no
HD326267 4719  84 103 4.31 0.20 0.22 0.45 0.40 -0.26 0.05 0.07 257 31 0.2315 0.30013 0.701 0.004 28.35 2.25 -0.8568 0.0689 no
HD329788 5151  64  87 4.35 0.11 0.15 0.19 0.33 -0.08 0.05 0.07 260 35 0.3687 0.21915 0.809 0.024 18.08 1.82 -0.5425 0.0874 no
BD-002387 4833  95 112 4.47 0.20 0.22 0.85 0.28  0.03 0.06 0.08 256 34 0.4488 0.29393 0.761 0.020 22.50 1.54 -0.6878 0.0594 no
BD-010184 4728  72  93 4.34 0.17 0.20 0.40 0.33 -0.34 0.02 0.06 255 31 0.3549 0.23026 0.701 0.005 30.76 1.19 -0.6979 0.0336 no
BD-012505 4741  83 102 4.51 0.20 0.22 0.44 0.16 -0.11 0.05 0.07 260 28 0.3572 0.26708 0.704 0.009 32.93 1.38 -0.8603 0.0364 no
BD-033746 4732  84 103 4.63 0.21 0.23 0.15 0.68 -0.90 0.04 0.06 254 24 0.0    0.28215 0.0   0.0   37.04 1.75 -1.0042 0.0410 no
BD-034797 4622 155 166 4.21 0.37 0.38 0.30 1.07  0.06 0.11 0.12 256 31 0.2814 0.46968 0.734 0.019 30.94 1.44 -0.7080 0.0404 no
BD-044138 4604 160 170 4.39 0.38 0.39 0.38 0.84 -0.11 0.09 0.10 260 29 0.2047 0.50476 0.701 0.003 31.00 2.26 -1.0329 0.0633 no
BD-050484 4674  88 106 4.42 0.22 0.24 0.21 0.84 -0.39 0.09 0.10 259 31 0.3490 0.31810 0.700 0.003 25.49 1.91 -0.8051 0.0650 no
BD-050578 5470  29  66 4.39 0.07 0.12 0.79 0.04  0.09 0.02 0.05 255 34 0.4672 0.14416 0.914 0.027 20.60 1.54 -0.3753 0.0649 no
BD-053176 4758  94 111 4.39 0.22 0.24 0.82 0.35 -0.09 0.05 0.07 259 33 0.3879 0.34025 0.732 0.019 21.21 2.09 -0.6983 0.0855 no
BD-053596 4594  72  93 4.32 0.19 0.21 0.27 0.64 -0.34 0.02 0.05 260 31 0.2741 0.27013 0.700 0.000 24.56 1.49 -0.8400 0.0526 no
BD-054065 4895  57  82 4.41 0.10 0.14 0.42 0.23 -0.29 0.03 0.06 259 32 0.4142 0.20478 0.722 0.017 20.47 1.99 -0.6405 0.0844 no
BD-060904 5066  49  77 4.46 0.09 0.13 0.46 0.18 -0.17 0.03 0.06 256 33 0.4694 0.17433 0.774 0.021 22.02 1.71 -0.5765 0.0674 no
BD-063481 4815  89 107 4.36 0.19 0.21 0.41 0.38 -0.14 0.05 0.07 258 32 0.4328 0.25820 0.744 0.018 26.21 1.08 -0.6000 0.0357 no
BD-064196 4688  90 108 4.30 0.23 0.25 0.42 0.31 -0.03 0.09 0.11 259 32 0.4330 0.31699 0.751 0.022 22.97 1.41 -0.5862 0.0533 no
BD-064756 4646  90 108 4.54 0.21 0.23 0.70 0.34 -0.23 0.04 0.06 260 32 0.3673 0.30276 0.700 0.001 25.71 1.74 -0.9134 0.0587 no
BD-082534 5405  29  66 4.43 0.04 0.11 0.41 0.10 -0.78 0.02 0.06 253 34 0.6151 0.11960 0.732 0.020 17.06 1.38 -0.3166 0.0702 no
BD-082823 4816  98 114 4.43 0.20 0.22 0.81 0.29 -0.06 0.06 0.08 258 34 0.4649 0.2933  0.751 0.020 23.53 1.56 -0.6386 0.0575 yes
BD-090872 4660  80 100 4.35 0.18 0.21 0.77 0.29 -0.19 0.04 0.06 258 34 0.2750 0.25422 0.700 0.003 31.88 1.62 -0.8439 0.0441 no
BD-091261 4717  74  95 4.69 0.21 0.23 0.92 0.33 -0.75 0.04 0.06 255 26 0.0    0.29720 0.0   0.0   26.90 1.85 -1.0667 0.0597 no
BD-092670 4806  86 104 4.46 0.17 0.20 0.51 0.39 -0.08 0.05 0.07 259 32 0.4729 0.24207 0.742 0.018 25.82 1.21 -0.6648 0.0407 no
BD-094191 4804 101 117 4.44 0.20 0.22 0.63 0.30 -0.32 0.04 0.07 259 34 0.5192 0.39822 0.708 0.012 19.60 3.64 -0.6049 0.1613 no
BD-112763 4911  54  80 4.44 0.10 0.14 0.38 0.22 -0.26 0.03 0.06 257 33 0.3533 0.17300 0.719 0.016 24.54 1.52 -0.7339 0.0538 no
BD-120327 4680 100 116 4.35 0.23 0.25 0.57 0.39 -0.34 0.05 0.07 257 31 0.3718 0.33419 0.701 0.004 23.32 1.79 -0.7054 0.0666 no
BD-123458 4803 158 169 4.86 0.32 0.34 0.43 1.07 -0.83 0.05 0.07 254 23 0.2948 0.43112 0.700 0.000 38.50 2.35 -1.2711 0.0530 no
BD-130116 4615 125 138 4.33 0.33 0.34 0.61 0.51 -0.49 0.06 0.08 258 31 0.1698 0.47662 0.700 0.000 27.57 3.14 -1.0500 0.0989 no
BD-130321 4772 118 132 4.41 0.26 0.28 0.78 0.43  0.02 0.09 0.10 259 33 0.3278 0.34657 0.729 0.019 29.84 1.48 -0.7863 0.0430 no
BD-131161 5389  26  65 4.37 0.05 0.11 0.68 0.05  0.09 0.02 0.05 257 35 0.6146 0.11974 0.905 0.029 18.69 1.32 -0.2621 0.0613 no
BD-140184 4714 143 155 4.32 0.27 0.29 0.76 0.05 -0.38 0.11 0.12 261 30 0.3514 0.37594 0.704 0.009 23.36 1.41 -0.6874 0.0524 no
BD-145003 4640  81 100 4.41 0.23 0.25 0.35 0.55 -0.51 0.06 0.08 254 29 0.2876 0.36775 0.700 0.001 22.29 2.75 -0.8919 0.1071 no
BD-160308 5183  31  67 4.48 0.05 0.11 0.51 0.09 -0.41 0.02 0.05 255 34 0.5888 0.13514 0.753 0.019 19.18 1.65 -0.4584 0.0747 no
BD-160931 4840  97 114 4.38 0.20 0.22 0.46 0.44 -0.11 0.05 0.07 258 31 0.4899 0.30322 0.754 0.020 20.42 1.60 -0.5572 0.0680 no
BD-170063 4665 105 120 4.19 0.24 0.26 0.57 0.54  0.01 0.08 0.10 257 33 0.2915 0.31893 0.743 0.019 28.01 1.27 -0.6567 0.0393 yes
BD-173242 4627 132 144 4.48 0.30 0.32 0.31 0.97 -0.29 0.03 0.06 258 30 0.3912 0.41901 0.700 0.001 23.25 1.84 -0.8331 0.0687 no
BD-195953 4775 108 123 4.51 0.23 0.25 0.71 0.33 -0.14 0.05 0.07 260 32 0.5649 0.32037 0.731 0.018 25.22 1.47 -0.6489 0.0506 no
BD-213153 4622  83 102 4.38 0.22 0.24 0.76 0.32 -0.17 0.04 0.06 258 30 0.3075 0.29088 0.700 0.003 30.64 1.39 -0.8395 0.0394 no
BD-223528 4747  87 105 4.28 0.20 0.22 0.63 0.31 -0.17 0.04 0.07 256 34 0.2912 0.27975 0.714 0.014 27.36 1.50 -0.7168 0.0476 no
HIP102025 4684  64  87 4.32 0.15 0.18 0.53 0.30 -0.28 0.03 0.06 258 33 0.4290 0.25151 0.704 0.009 21.60 1.93 -0.6118 0.0776 no
HIP102964 4797  51  78 4.43 0.11 0.15 0.72 0.19 -0.23 0.03 0.06 259 31 0.4438 0.17013 0.717 0.015 25.91 1.24 -0.6657 0.0415 no
HIP103867 4559 101 117 4.14 0.23 0.25 0.77 0.20 -0.45 0.05 0.07 257 28 0.1159 0.34516 0.700 0.000 23.58 2.07 -1.0471 0.0762 no
HIP104856 5023  31  67 4.43 0.07 0.12 0.22 0.06 -0.24 0.03 0.06 257 31 0.5672 0.14485 0.762 0.020 17.21 1.27 -0.4791 0.0640 no
HIP105506 4840 114 128 4.37 0.22 0.24 0.22 1.11 -0.01 0.12 0.13 257 34 0.4094 0.31474 0.761 0.025 24.10 1.48 -0.6252 0.0533 no
HIP10741 4859  68  90 4.40 0.15 0.18 0.51 0.28 -0.15 0.04 0.06 258 33 0.3406 0.23277 0.730 0.017 23.84 1.60 -0.7283 0.0582 no
HIP108216 4830  89 107 4.53 0.19 0.21 0.66 0.31 -0.51 0.04 0.07 256 29 0.3973 0.26723 0.700 0.000 28.81 1.49 -0.8018 0.0449 no
HIP109149 4960  67  89 4.43 0.14 0.17 0.32 0.37 -0.12 0.05 0.07 260 34 0.3267 0.24247 0.754 0.020 21.15 1.92 -0.7406 0.0788 no
HIP109421 4576 107 122 4.42 0.30 0.32 0.32 0.75 -0.27 0.03 0.06 258 30 0.3036 0.43534 0.700 0.001 28.57 3.10 -0.9025 0.0942 no
HIP113596 4580  99 115 4.25 0.25 0.27 0.67 0.40 -0.21 0.08 0.10 257 34 0.2160 0.35477 0.701 0.004 24.18 1.86 -0.8787 0.0668 no
HIP116374 4626 147 158 4.31 0.36 0.37 0.42 1.02  0.01 0.16 0.16 258 32 0.2314 0.45757 0.705 0.009 28.69 1.37 -0.8915 0.0414 no
HIP116939 4984  58  83 4.35 0.12 0.16 0.56 0.15 -0.07 0.03 0.06 257 34 0.4958 0.17956 0.794 0.020 19.04 0.86 -0.4711 0.0392 no
HIP12147 5050  43  73 4.50 0.08 0.13 0.43 0.20 -0.32 0.03 0.06 257 34 0.6934 0.15469 0.753 0.019 18.29 1.26 -0.4526 0.0598 no
HIP15587 5239  32  68 4.46 0.06 0.12 0.66 0.07 -0.12 0.02 0.05 258 35 0.4794 0.12682 0.814 0.022 17.47 1.13 -0.5090 0.0561 no
HIP16094 4877  96 113 4.44 0.18 0.21 0.39 0.43 -0.04 0.05 0.07 257 34 0.4505 0.25772 0.761 0.019 25.54 1.27 -0.6404 0.0431 no
HIP17346 4699  95 112 4.32 0.23 0.25 0.66 0.35 -0.16 0.05 0.07 257 32 0.3000 0.29155 0.705 0.009 37.97 1.14 -0.7616 0.0260 no
HIP1745 5416  26  65 4.39 0.05 0.11 0.47 0.07 -0.44 0.02 0.05 256 34 0.5157 0.11507 0.790 0.023 18.53 1.21 -0.3496 0.0567 no
HIP18918 4572  81 100 4.28 0.22 0.24 0.45 0.55 -0.20 0.06 0.08 256 32 0.2876 0.32179 0.701 0.005 23.82 1.94 -0.7875 0.0707 no
HIP20444 4907  78  98 4.41 0.16 0.19 0.54 0.25 -0.12 0.04 0.06 257 32 0.3824 0.24608 0.749 0.019 21.92 1.47 -0.6709 0.0582 no
HIP21934 4674 159 169 4.19 0.38 0.39 0.62 0.64  0.03 0.11 0.12 258 33 0.1957 0.46940 0.711 0.013 28.77 0.97 -0.8263 0.0292 no
HIP25612 4571  99 115 4.35 0.28 0.30 0.56 0.52 -0.50 0.06 0.08 256 28 0.2252 0.34494 0.700 0.000 32.61 1.01 -0.9640 0.0269 no
HIP26013 4891  96 113 4.41 0.20 0.22 0.90 0.23  0.02 0.06 0.08 259 34 0.5054 0.26393 0.786 0.020 29.45 1.00 -0.5555 0.0294 no
HIP31639 5400  25  65 4.53 0.05 0.11 0.31 0.09 -0.54 0.02 0.05 257 33 0.6660 0.12028 0.769 0.022 17.45 1.25 -0.3837 0.0622 no
HIP32127 5302  28  66 4.44 0.06 0.12 0.58 0.07 -0.64 0.02 0.05 255 33 0.7085 0.11398 0.749 0.021 17.26 0.89 -0.2987 0.0447 no
HIP32812 4977  97 114 4.41 0.19 0.21 0.56 0.33 -0.02 0.05 0.07 259 34 0.4836 0.27730 0.792 0.022 19.46 1.19 -0.5444 0.0531 no
HIP33392 4986  70  92 4.54 0.13 0.16 0.97 0.18 -0.09 0.03 0.06 260 35 0.5835 0.20013 0.774 0.020 19.44 1.02 -0.5897 0.0455 no
HIP35992 4939  72  93 4.25 0.14 0.17 0.62 0.19 -0.02 0.05 0.07 257 35 0.3911 0.22640 0.794 0.022 21.11 1.48 -0.4899 0.0608 no
HIP36347 4719  97 114 4.38 0.22 0.24 0.84 0.36 -0.05 0.08 0.09 255 32 0.2993 0.31023 0.716 0.016 27.91 1.74 -0.8152 0.0541 no
HIP38324 4615  98 114 4.39 0.25 0.27 0.48 0.46 -0.30 0.02 0.06 258 30 0.2900 0.33100 0.700 0.000 29.80 1.50 -0.8775 0.0437 no
HIP39470 4571  79  99 4.40 0.20 0.22 0.61 0.38 -0.39 0.02 0.05 258 28 0.2436 0.27822 0.700 0.000 23.19 1.28 -0.9799 0.0479 no
HIP41659 5197  29  66 4.38 0.09 0.13 0.42 0.09 -0.53 0.02 0.06 260 34 0.5390 0.13591 0.749 0.019 19.44 0.81 -0.3921 0.0361 no
HIP45301 4788 164 174 4.46 0.33 0.34 0.10 3.30 -0.12 0.05 0.07 261 32 0.5140 0.43687 0.738 0.018 25.31 1.35 -0.6351 0.0463 no
HIP46933 4487 162 172 4.22 0.38 0.39 0.22 1.23 -0.24 0.02 0.05 260 29 0.2428 0.48384 0.700 0.000 27.17 1.25 -0.8336 0.0399 no
HIP5114 4846 180 189 4.39 0.31 0.33 0.74 0.17 -0.69 0.22 0.23 257 30 0.2988 0.41811 0.702 0.006 24.81 1.21 -0.7798 0.0423 no
HIP5158 4813 161 171 4.32 0.34 0.35 0.54 0.80  0.17 0.10 0.11 260 34 0.2582 0.47566 0.766 0.022 24.28 2.14 -0.7851 0.0765 yes
HIP54446 4992  49  77 4.51 0.10 0.14 0.74 0.13 -0.18 0.02 0.06 257 34 0.5916 0.18367 0.764 0.020 19.45 1.49 -0.5516 0.0665 no
HIP54597 4799  68  90 4.43 0.15 0.18 0.52 0.31 -0.22 0.04 0.06 259 32 0.4144 0.22132 0.715 0.014 25.57 1.37 -0.6947 0.0465 no
HIP57688 4712  81 100 4.32 0.18 0.21 0.37 0.54 -0.14 0.06 0.08 258 32 0.3098 0.23669 0.710 0.012 32.69 1.00 -0.7428 0.0265 no
HIP58348 4828 100 116 4.34 0.20 0.22 0.43 0.44  0.00 0.05 0.07 255 34 0.3558 0.32691 0.763 0.021 19.28 2.01 -0.6604 0.0905 no
HIP59925 4590  86 104 4.40 0.24 0.26 0.43 0.58 -0.26 0.06 0.08 255 28 0.3083 0.32496 0.700 0.001 28.84 1.73 -0.8704 0.0521 no
HIP61406 4855 112 127 4.42 0.23 0.25 0.68 0.41  0.03 0.05 0.07 259 34 0.3755 0.39358 0.773 0.022 24.85 3.52 -0.7074 0.1230 no
HIP64965 4888  54  80 4.78 0.14 0.17 0.00 0.31 -1.03 0.07 0.09 250 24 0.2551 0.24736 0.700 0.000 28.80 2.92 -1.2234 0.0880 no
HIP67126 4681  66  89 4.20 0.17 0.20 0.27 0.61 -0.19 0.07 0.08 259 32 0.3995 0.26603 0.723 0.018 21.42 1.76 -0.5238 0.0713 no
HIP69224 5005  44  74 4.30 0.10 0.14 0.32 0.21 -0.14 0.03 0.06 258 36 0.4128 0.18317 0.778 0.020 21.00 1.64 -0.4934 0.0678 no
HIP7058 4749 135 147 4.55 0.29 0.31 0.41 0.67 -0.10 0.07 0.09 257 32 0.4247 0.39379 0.712 0.015 25.56 1.58 -0.8222 0.0536 no
HIP7743 4692  97 114 4.39 0.23 0.25 0.74 0.47 -0.17 0.05 0.07 258 32 0.4343 0.31479 0.714 0.014 25.25 1.41 -0.6735 0.0485 no
HIP78242 5244  38  71 4.40 0.07 0.12 0.73 0.07 -0.01 0.02 0.06 256 36 0.6383 0.16528 0.855 0.026 16.71 1.59 -0.3231 0.0826 no
HIP80083 4800 101 117 4.78 0.26 0.28 0.31 0.87 -0.80 0.04 0.06 250 26 0.3396 0.41230 0.700 0.000 20.78 2.76 -1.1308 0.1153 no
HIP88316 5159  50  78 4.38 0.09 0.13 0.35 0.17 -0.01 0.03 0.06 258 35 0.6473 0.17988 0.840 0.024 17.38 1.46 -0.3254 0.0729 no
HIP9398 4734 102 118 4.49 0.26 0.28 0.62 0.38 -0.43 0.05 0.07 257 27 0.2482 0.34494 0.700 0.000 25.63 1.39 -1.0009 0.0471 no
HIP96240 4849  57  82 4.47 0.12 0.16 0.70 0.18 -0.15 0.03 0.06 257 32 0.5033 0.22306 0.740 0.018 20.63 1.96 -0.6323 0.0825 no
HIP99606 5764  35  69 4.19 0.03 0.10 0.98 0.05 -0.41 0.03 0.06 251 34 0.0369 0.31659 0.858 0.030 25.49 8.10 -1.1857 0.2760 no
