HD44573   5071  56 4.48 0.10 0.80 0.13 -0.07 0.03 252 34 0.814 4.63  0.315 0.027 6.26 no
HD44594   5840  14 4.38 0.02 1.06 0.01  0.15 0.01 249 34 1.042 4.38  1.240 0.012 4.56 no
HD45184   5869  14 4.47 0.02 1.03 0.01  0.04 0.01 253 34 1.031 4.43  1.133 0.012 4.65 no
HD45289   5717  18 4.32 0.01 0.99 0.02 -0.02 0.01 255 34 0.948 4.25  1.411 0.013 4.44 no
HD45364   5434  20 4.38 0.03 0.71 0.03 -0.17 0.01 254 34 0.819 4.50  0.557 0.023 5.51 no
HD47186   5675  21 4.36 0.04 0.93 0.02  0.23 0.02 252 34 0.990 4.36  1.080 0.029 4.74 no
HD48611   5337  23 4.51 0.04 0.69 0.05 -0.36 0.02 256 33 0.734 4.51  0.454 0.084 5.77 no
HD50590   4870  67 4.39 0.14 0.35 0.28 -0.22 0.04 251 33 0.633 4.50  0.275 0.038 6.49 no
HD50806   5633  15 4.11 0.03 1.03 0.01  0.03 0.01 251 35 0.961 4.04  2.169 0.014 3.99 no
HD51608   5358  22 4.36 0.05 0.73 0.04 -0.07 0.01 249 34 0.798 4.45  0.572 0.019 5.51 no
HD52265   6136  31 4.36 0.03 1.32 0.03  0.21 0.02 255 35 1.204 4.34  1.912 0.020 4.05 yes
HD52919   4698  91 4.37 0.20 0.67 0.34 -0.17 0.04 258 33 0.675 4.64  0.186 0.018 7.02 no
HD55693   5914  26 4.43 0.04 1.07 0.03  0.29 0.02 251 35 1.117 4.34  1.515 0.025 4.33 no
HD59468   5618  20 4.39 0.03 0.88 0.02  0.03 0.01 256 35 0.913 4.40  0.894 0.010 4.96 no
HD59711A  5722  13 4.46 0.02 0.86 0.02 -0.12 0.01 255 33 0.907 4.42  0.912 0.030 4.92 no
HD63454   4840  66 4.30 0.16 0.81 0.14  0.06 0.03 227 27 0.661 4.55  0.253 0.027 6.60 yes
HD63765   5432  19 4.42 0.03 0.82 0.03 -0.16 0.01 249 32 0.828 4.51  0.549 0.020 5.53 no
