ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 6459   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  6385.720   26.00000   4.730  -1.836    13.10    -5.688     7.898    0.120
  6392.540   26.00000   2.280  -3.948    13.90    -5.663     7.910    0.132
  6430.850   26.00000   2.180  -2.133   101.00    -4.804     7.927    0.150
  6481.880   26.00000   2.280  -2.933    55.80    -5.065     7.901    0.124
  6498.940   26.00000   0.960  -4.632    33.40    -5.289     7.936    0.159
  6581.210   26.00000   1.490  -4.713    11.50    -5.758     7.864    0.086
  6593.880   26.00000   2.430  -2.384    83.20    -4.899     8.044    0.266
  6608.030   26.00000   2.280  -3.973    10.30    -5.807     7.769   -0.008
  6609.120   26.00000   2.560  -2.634    56.00    -5.072     7.840    0.063
  6625.020   26.00000   1.010  -5.288    11.30    -5.768     7.997    0.220
  6627.550   26.00000   4.550  -1.479    21.90    -5.481     7.663   -0.115
  6646.940   26.00000   2.610  -3.919     7.40    -5.953     7.844    0.066
  6653.860   26.00000   4.150  -2.414     7.80    -5.931     7.709   -0.069
  6699.150   26.00000   4.590  -2.110     7.00    -5.981     7.732   -0.045
  6703.570   26.00000   2.760  -3.026    33.10    -5.306     7.924    0.146
  6705.110   26.00000   4.610  -1.060    39.60    -5.229     7.692   -0.086
  6710.320   26.00000   1.490  -4.818    10.70    -5.797     7.925    0.147
  6713.050   26.00000   4.610  -1.520    13.90    -5.684     7.499   -0.279
  6713.200   26.00000   4.140  -2.445     9.80    -5.836     7.842    0.064
  6713.740   26.00000   4.790  -1.429    10.80    -5.794     7.432   -0.346
  6725.360   26.00000   4.100  -2.191     9.90    -5.832     7.557   -0.221
  6732.070   26.00000   4.580  -2.152     8.80    -5.884     7.875    0.097
  6733.150   26.00000   4.640  -1.433    16.70    -5.606     7.536   -0.242
